City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Airai,TL,-8.9266,125.4092,62.78,80,16,2.53,few clouds
80,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,60,40,9.22,scattered clouds
81,Ekhabi,RU,53.5102,142.9671,30.88,68,75,7.45,broken clouds
82,Luderitz,NA,-26.6481,15.1594,63.81,77,44,8.61,scattered clouds
83,Kathu,TH,7.9178,98.3332,84.99,83,20,5.75,few clouds
84,Lavrentiya,RU,65.5833,-171.0,33.28,81,22,2.86,few clouds
85,Bandarbeyla,SO,9.4942,50.8122,82.71,74,94,5.57,overcast clouds
86,Groningen,NL,53.25,6.75,42.01,100,44,2.3,scattered clouds
87,Kiama,AU,-34.6833,150.8667,61.0,68,96,1.01,overcast clouds
88,Artesia,US,33.8658,-118.0831,66.2,55,40,9.22,scattered clouds
89,Baykit,RU,61.67,96.37,29.79,90,83,1.86,broken clouds
90,Cape Town,ZA,-33.9258,18.4232,57.2,88,0,6.91,clear sky
91,Atuona,PF,-9.8,-139.0333,80.29,79,29,22.7,scattered clouds
92,Ifanadiana,MG,-21.3,47.6333,65.79,98,88,1.23,overcast clouds
93,Caravelas,BR,-17.7125,-39.2481,74.84,83,31,6.04,scattered clouds
94,Tyrma,RU,50.0833,132.1667,36.36,35,0,8.99,clear sky
95,Chuy,UY,-33.6971,-53.4616,66.69,84,14,13.0,few clouds
96,Provideniya,RU,64.3833,-173.3,40.98,54,78,4.45,broken clouds
97,Bundaberg,AU,-24.85,152.35,71.6,53,63,9.22,broken clouds
98,Makhachkala,RU,42.9764,47.5024,46.4,87,2,4.47,clear sky
99,Imeni Poliny Osipenko,RU,52.4201,136.4853,38.21,44,28,4.41,scattered clouds
100,Qandala,SO,11.472,49.8728,84.04,70,1,6.69,clear sky
101,Naze,JP,28.3667,129.4833,68.0,88,75,20.71,broken clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,69.01,83,0,9.22,moderate rain
103,Esperance,AU,-33.8667,121.9,55.4,88,97,9.22,overcast clouds
104,Vaini,TO,-21.2,-175.2,84.2,79,20,5.75,few clouds
105,Rongcheng,CN,30.634,117.8517,61.43,94,67,5.08,broken clouds
106,Omboue,GA,-1.5746,9.2618,78.13,89,95,5.3,overcast clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,74.88,77,13,15.41,few clouds
108,Kasaragod,IN,12.5,75.0,78.8,89,20,4.61,few clouds
109,Dalvik,IS,65.9702,-18.5286,42.8,81,0,1.14,clear sky
110,Torbay,CA,47.6666,-52.7314,37.99,87,20,20.71,few clouds
111,Hamilton,US,39.1834,-84.5333,57.99,47,75,4.61,broken clouds
112,Clyde River,CA,70.4692,-68.5914,17.6,93,90,3.44,fog
113,Zhigansk,RU,66.7697,123.3711,14.4,85,64,3.83,broken clouds
114,Grindavik,IS,63.8424,-22.4338,44.6,93,75,14.97,broken clouds
115,Fort Abbas,PK,29.1925,72.8536,74.1,36,0,10.51,clear sky
116,Pevek,RU,69.7008,170.3133,15.24,87,45,1.63,scattered clouds
117,Lagos,NG,6.5833,3.75,84.2,84,40,6.91,scattered clouds
118,Smithers,CA,54.7804,-127.1743,57.2,21,40,5.75,scattered clouds
119,Kuznechnoye,RU,61.12,29.8686,37.0,91,84,4.29,broken clouds
120,Saint George,US,37.1041,-113.5841,81.0,8,1,16.11,clear sky
121,Pacifica,US,37.6138,-122.4869,60.01,82,40,6.91,haze
122,Kahului,US,20.8947,-156.47,84.2,48,20,25.32,few clouds
123,Bengkulu,ID,-3.8004,102.2655,73.36,89,92,3.51,overcast clouds
124,Whyalla,AU,-33.0333,137.5833,59.0,82,75,5.75,broken clouds
125,Akureyri,IS,65.6835,-18.0878,42.8,81,0,1.14,clear sky
126,Griffith,US,41.5284,-87.4237,59.0,44,75,14.97,broken clouds
127,Touros,BR,-5.1989,-35.4608,80.6,83,40,3.44,scattered clouds
128,Amapa,BR,1.0,-52.0,72.75,98,100,2.15,overcast clouds
129,Fayaoue,NC,-20.65,166.5333,79.5,77,72,13.31,broken clouds
130,Oranjemund,NA,-28.55,16.4333,61.2,87,64,3.42,broken clouds
131,Vila Velha,BR,-20.3297,-40.2925,77.0,73,75,6.91,broken clouds
132,Chokurdakh,RU,70.6333,147.9167,3.4,86,58,1.21,broken clouds
