City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Corrientes,AR,2021-04-14 23:27:21,-27.4806,-58.8341,75.99,73,1,2.3
67,Qingdao,CN,2021-04-14 23:27:21,36.0986,120.3719,52.0,66,0,11.18
68,Mexticacan,MX,2021-04-14 23:27:21,21.2654,-102.7798,87.8,8,40,11.5
69,Falmouth,GB,2021-04-14 23:27:22,50.1544,-5.0711,46.0,81,40,6.91
70,Golspie,GB,2021-04-14 23:27:22,57.9727,-3.978,37.99,87,69,1.14
71,Bethel,US,2021-04-14 23:27:22,41.3712,-73.414,66.2,42,90,9.22
72,Luwingu,ZM,2021-04-14 23:27:22,-10.2621,29.9271,60.49,98,100,4.79
73,Mar Del Plata,AR,2021-04-14 23:23:50,-38.0023,-57.5575,68.0,72,0,4.61
74,East London,ZA,2021-04-14 23:27:23,-33.0153,27.9116,70.95,75,80,5.66
75,Torbay,CA,2021-04-14 23:27:23,47.6666,-52.7314,34.0,93,90,10.36
76,Tuatapere,NZ,2021-04-14 23:27:23,-46.1333,167.6833,60.01,80,54,4.0
77,Kaman,IN,2021-04-14 23:27:23,27.65,77.2667,82.31,15,83,7.49
78,Asau,RO,2021-04-14 23:27:24,46.4333,26.4,39.99,66,100,2.62
79,Luderitz,NA,2021-04-14 23:23:17,-26.6481,15.1594,75.38,33,0,5.53
80,Atar,MR,2021-04-14 23:27:25,20.5169,-13.0499,80.42,19,39,8.43
81,Port Elizabeth,ZA,2021-04-14 23:27:18,-33.918,25.5701,59.0,100,20,4.61
82,Vilyuysk,RU,2021-04-14 23:27:25,63.7553,121.6247,19.11,98,99,6.22
83,Hilo,US,2021-04-14 23:25:43,19.7297,-155.09,80.6,54,1,12.66
84,Bambanglipuro,ID,2021-04-14 23:27:25,-7.95,110.2833,75.29,88,88,3.49
85,Cabo San Lucas,MX,2021-04-14 23:25:05,22.8909,-109.9124,86.0,19,1,9.22
86,Broome,US,2021-04-14 23:27:26,42.2506,-75.833,59.0,71,90,4.61
87,Atuona,PF,2021-04-14 23:27:08,-9.8,-139.0333,80.98,74,66,19.44
88,Hobyo,SO,2021-04-14 23:27:26,5.3505,48.5268,81.59,67,95,11.95
89,Humaita,BR,2021-04-14 23:27:26,-7.5061,-63.0208,75.29,95,98,1.86
90,Kavieng,PG,2021-04-14 23:27:27,-2.5744,150.7967,83.37,68,39,6.26
91,Mandali,IQ,2021-04-14 23:27:27,33.7499,45.5541,63.25,30,0,10.38
92,Marica,BR,2021-04-14 23:27:27,-22.9194,-42.8186,75.2,64,75,8.05
93,Muros,ES,2021-04-14 23:27:27,42.7762,-9.0603,55.99,68,39,1.99
94,Yei,SS,2021-04-14 23:27:28,4.095,30.6779,69.08,72,18,3.22
95,Provideniya,RU,2021-04-14 23:27:28,64.3833,-173.3,19.4,68,0,4.47
96,Puerto Ayora,EC,2021-04-14 23:27:28,-0.7393,-90.3518,80.6,78,20,13.8
