City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
429,Cayenne,GF,78.01,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
434,Moratuwa,LK,78.8,scattered clouds,6.773,79.8816,Sa Mansion By Yoho
435,Port Hedland,AU,66.2,clear sky,-20.3167,118.5667,The Esplanade Hotel
436,Kavieng,PG,80.15,light rain,-2.5744,150.7967,Nusa Island Retreat
440,Santa Isabel Do Rio Negro,BR,76.06,broken clouds,-0.4139,-65.0192,Hotel GSA
441,Ternate,ID,82.38,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
444,Cabo San Lucas,MX,84.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
450,Olmos,PE,80.08,broken clouds,-5.9847,-79.7453,Hospedaje El Olmo
452,Emerald,AU,70.0,clear sky,-23.5333,148.1667,The Irish Village
456,Bubaque,GW,78.15,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
457,Bambanglipuro,ID,73.72,clear sky,-7.95,110.2833,Puri Brata
460,Lakatoro,VU,85.05,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
464,Gat,IL,66.99,broken clouds,31.61,34.7642,OlusHome
467,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
468,Itoman,JP,68.0,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
471,Harpanahalli,IN,74.44,few clouds,14.8,75.9833,HARIJA B.S
472,Montes Claros,BR,75.2,clear sky,-16.735,-43.8617,ibis Montes Claros Shopping
475,Mwene-Ditu,CD,67.39,overcast clouds,-7.0,23.45,Hôtel Kamas
476,Hualmay,PE,67.66,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
478,Sao Francisco,BR,76.64,few clouds,-15.9486,-44.8644,Hotel Supremo
479,Dwarka,IN,81.03,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
484,Pundaguitan,PH,82.74,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
486,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
488,Nhulunbuy,AU,84.2,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
489,Rio Grande,BR,68.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
492,Bima,ID,75.22,clear sky,-8.4667,118.7167,Lambitu Hotel
493,Wanlaweyn,SO,81.01,broken clouds,2.6185,44.8938,GAASHAAN HOME
494,Sao Filipe,CV,72.57,scattered clouds,14.8961,-24.4956,Tortuga B&B
495,Ipixuna,BR,77.0,broken clouds,-1.7625,-48.8043,Casa da Oscarina
497,Bonoua,CI,82.4,few clouds,5.2741,-3.595,Hotel Bon Samaritian
499,Nova Granada,BR,73.4,clear sky,-20.5339,-49.3142,Granada Hotel - Nova Granada
500,Socorro,US,75.2,few clouds,31.6546,-106.3033,guarderia imss papalote
504,Malakal,SS,86.76,scattered clouds,9.5334,31.6605,Nile Palace Hotel
506,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
507,Bossangoa,CF,70.5,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
508,Wanning,CN,77.63,few clouds,18.8003,110.3967,Paradise Hotel
510,Tamiahua,MX,82.81,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
511,Cruz,BR,78.33,scattered clouds,-2.9178,-40.1717,Hotel Villaboibom
513,Miri,MY,78.8,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
517,Alta Floresta,BR,72.63,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
521,Ambilobe,MG,71.91,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
522,Agadir,MA,66.2,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
523,Alyangula,AU,80.6,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
530,Honiara,SB,83.7,broken clouds,-9.4333,159.95,Heritage Park Hotel
532,Kalmunai,LK,79.47,clear sky,7.4167,81.8167,VS Villa
534,Hobyo,SO,82.96,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
535,Kouroussa,GN,82.02,broken clouds,10.65,-9.8833,Hotel Paillote
536,Bocana De Paiwas,NI,88.66,scattered clouds,12.7857,-85.1227,Guapinol Cabaña Monge
537,Dhidhdhoo,MV,83.05,clear sky,6.8833,73.1,Dhidhoo beach
538,Amas,PH,78.01,overcast clouds,7.0569,124.9839,Serendipity Resort and Adventureland
541,Rapar,IN,79.38,broken clouds,23.5667,70.6333,Dharamshi Bapa’s Home
542,Edgewater,US,71.6,few clouds,28.9889,-80.9023,Islander Beach Resort
543,Reconquista,AR,65.62,light rain,-29.15,-59.65,Grand Hotel
545,Dunkwa,GH,76.96,overcast clouds,5.9656,-1.78,Tim Freeman Gold City Hotel
546,Kerema,PG,80.38,overcast clouds,-7.9631,145.7785,Frena Lodge
549,Medak,IN,79.0,mist,18.0333,78.2667,Haritha Heritage Hotel
553,Savannah Bight,HN,84.2,few clouds,16.45,-85.85,Villa on Dunbar Rock
554,Nouakchott,MR,66.2,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
555,Santa Maria,BR,69.8,clear sky,-29.6842,-53.8069,Hotel Morotin
559,Praia,CV,69.8,few clouds,14.9215,-23.5087,LT Aparthotel
562,Makakilo City,US,82.4,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
566,Vao,NC,75.67,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
567,Tres Lagoas,BR,71.56,clear sky,-20.7511,-51.6783,Druds Express Hotel
569,Kirakira,SB,83.98,broken clouds,-10.4544,161.9205,SanBiz Lodge
570,Mogadishu,SO,82.49,broken clouds,2.0371,45.3438,Hotel Juba
574,Tirumullaivasal,IN,81.19,broken clouds,11.2333,79.8333,Hajaali
576,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
578,Sur,OM,85.69,clear sky,22.5667,59.5289,Sur Plaza Hotel
580,Ambulu,ID,73.24,clear sky,-8.345,113.6058,Hotel Ambulu Jember
581,Tadepallegudem,IN,78.44,broken clouds,16.8333,81.5,Hotel Selection Grand
583,Howard Springs,AU,79.0,clear sky,-12.497,131.047,buffalo beach hostel
585,Copala,MX,85.91,overcast clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
586,Jalu,LY,76.39,clear sky,29.0331,21.5482,صاحبة الفخامة
587,Auchi,NG,77.31,overcast clouds,7.0667,6.2667,LECKY PLACE & HOTEL
588,Qui Nhon,VN,77.85,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
589,Dogondoutchi,NE,89.4,few clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
590,Tingo Maria,PE,72.81,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
592,Altamira,BR,74.12,overcast clouds,-3.2033,-52.2064,Requinte Hotel
595,Sunyani,GH,75.42,light rain,7.3399,-2.3268,Nass Lodge
599,Douala,CM,76.95,overcast clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
602,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
603,Sakakah,SA,77.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
605,Arinos,BR,75.25,few clouds,-15.9169,-46.1056,casa do bruno
607,Chilca,PE,66.2,few clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
609,Paraiso,CR,75.2,scattered clouds,9.8383,-83.8656,Rinconcito Verde
612,Ajdabiya,LY,77.99,scattered clouds,30.7554,20.2263,Almadina Hotel
613,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
615,Awbari,LY,82.22,clear sky,26.5921,12.7805,فندق أوباري
617,Bowen,AU,69.8,moderate rain,-20.0167,148.2333,Castle Motor Lodge Motel
620,Bontang,ID,76.69,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
623,Conceicao Do Araguaia,BR,80.6,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
626,Port Blair,IN,81.1,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
628,Diamantino,BR,78.03,scattered clouds,-14.4086,-56.4461,Hotel Delta
631,Bam,IR,78.48,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
633,Oshogbo,NG,74.23,broken clouds,7.7667,4.5667,Regina Suites Osogbo
634,Cukai,MY,75.2,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
635,Luganville,VU,84.34,broken clouds,-15.5333,167.1667,The Espiritu Hotel
636,Chapada Dos Guimaraes,BR,84.2,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
637,La Asuncion,VE,89.6,clear sky,11.0333,-63.8628,Colinas de Matasiete
639,Teluknaga,ID,77.0,haze,-6.0989,106.6381,Bale Ocasa hotel
643,Marrakesh,MA,66.2,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
644,Vanimo,PG,80.35,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
646,Thasra,IN,84.2,smoke,22.8,73.2167,THASHRIYADEV
647,Assai,BR,71.6,clear sky,-23.3733,-50.8414,Árvore Menor
654,Les Cayes,HT,78.89,few clouds,18.2,-73.75,Villa Orphee
655,Bambari,CF,71.26,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
660,Puerto Leguizamo,CO,75.76,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
661,Ozatlan,SV,96.8,clear sky,13.3833,-88.5,Cancha San carlos
662,Esmeraldas,BR,75.2,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
663,Mulege,MX,75.36,clear sky,26.8833,-111.9833,Casa Granada
664,Kiunga,PG,79.99,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
669,Sao Sebastiao,BR,71.1,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
673,Buala,SB,84.38,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
674,Sena Madureira,BR,76.05,broken clouds,-9.0656,-68.6569,Hotel Central
677,Dhanera,IN,78.51,scattered clouds,24.5167,72.0167,Umiyaji tilesh & senetry
686,Barcarena,BR,77.0,broken clouds,-1.5058,-48.6258,Dos Santos Hotel
687,Sabalgarh,IN,76.98,clear sky,26.25,77.4,Kailadevi studio
694,Miraflores,MX,80.6,scattered clouds,19.2167,-98.8083,Hotel Mansión
697,Conceicao Da Barra,BR,73.38,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
701,Tezu,IN,70.02,broken clouds,27.9167,96.1667,Circuit House
702,Mahibadhoo,MV,83.26,scattered clouds,3.7833,72.9667,Omadhoo Inn
707,Puerto Ayacucho,VE,85.82,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
